iso,composer
de,Gretry
de,Traetta
de,Bibalo
de,Kerger
de,Vaage
de,Adams
de,Saint-Saens
de,Satie
de,Paisiello
de,Johnson
de,Langemann
de,Conradi
de,Pergolesi
de,"Scarlatti,D"
de,Antheil
de,Holszky
de,Gorb
de,Cavalli
de,Moussa
de,Schnebel
de,Vivier
de,Navok
de,Provenzale
de,"Charpentier,M"
de,Matthus
de,Andriessen
de,Heggie
de,Hasse
de,"Lang,B"
de,"Andre,M"
de,Ayres
de,Shore
de,Lackerschmid
de,Stabler
de,Dogru
de,Eichmann
de,Helbig
de,Morlacchi
de,Respighi
de,Szymanowski
de,Terzakis
de,"Winkler,S"
dk,Donizetti
dk,"Bach,E"
dk,Massenet
dk,Verdi
dk,Bruun
dk,"Dvorak,A"
dk,Gershwin
dk,Gounod
dk,Leoncavallo
dk,Ligeti
dk,Mascagni
dk,"Strauss,J"
dk,Vivaldi
dk,Marthinsen
ee,Abraham
ee,Bernstein
ee,Hindemith
ee,Korvits
ee,Mozart
ee,Aints
ee,Tubin
es,Berlioz
es,Brahms
es,Gershwin
es,Rimsky-Korsakov
es,Schubert
es,Cilea
es,Kolonovits
es,Leoncavallo
es,Orff
es,Purcell
es,Menotti
es,Wolf-Ferrari
es,Barbieri
es,Chapi
es,Gimenez
es,Poulenc
es,Rihm
es,Wuorinen
es,Britten
es,Golijov
es,Fenelon
es,Giordano
es,Viardot
es,Chenna
es,Palau
es,Vivaldi
fi,Bernstein
fi,Bizet
fi,Brahms
fi,Korngold
fi,Poulenc
fi,Rossini
fi,Shostakovich
fi,Walton
fi,Eiriksdottir
fi,Britten
fi,Holst
fi,Weill
fi,Sallinen
fi,"Strauss,J"
fr,Schubert
fr,Yvain
fr,Bikkembergs
fr,Singier
fr,Alagna
fr,Campra
fr,Halevy
fr,Hepplewhite
fr,Leoncavallo
fr,Mascagni
fr,"Mayer,W"
fr,Gershwin
fr,Lauba
fr,Menotti
fr,Pergolesi
fr,Milhaud
fr,Grieg
fr,Oehring
fr,Aboulker
fr,Auzet
fr,Copland
fr,Goebbels
fr,Raskatov
fr,"Petit,J"
fr,Barber
fr,Chausson
fr,Battistelli
fr,Cilea
fr,Legrand
fr,Weber
fr,Orff
fr,Aprikian
fr,Dupin
fr,Eotvos
fr,Schumann
fr,Spontini
fr,Saint-Saens
fr,Rivas
fr,Cimarosa
fr,Paer
fr,Hurel
fr,Dubois
fr,Honegger
fr,Magnard
fr,David
fr,Gretry
fr,Philidor
fr,Salieri
gr,Galuppi
gr,Hadjiapostolou
gr,Hasse
gr,Kypourgos
gr,Massenet
gr,Mastoras
gr,Ritsiardis
gr,Rossini
gr,Sicilianos
gr,"Strauss,J"
gr,Varvoglis
gr,Britten
hk,"Ching,J"
hk,Gluck
hk,Gounod
hk,"Wagner,Richard"
hr,"Scarlatti,A"
hr,Britten
hr,Gounod
hr,Lhotka-Kalinski
hr,Skender
hr,Weill
hr,Boito
hr,Humperdinck
hr,Smetana
hu,Bellini
hu,Boito
hu,Gluck
hu,Janacek
hu,Kodaly
hu,Menotti
hu,Selmeczi
hu,Zerkovitz
hu,Britten
hu,Korngold
hu,Rota
hu,Hepplewhite
hu,Juranic
hu,Offenbach
hu,Stravinsky
ie,Weill
ie,Balfe
ie,Donizetti
ie,Foroni
ie,Massenet
ie,Rota
ie,Verdi
ie,Wargo
il,Borodin
il,Donizetti
il,"Kalman,E"
il,Offenbach
il,Puccini
is,Bizet
it,Gasparini
